region,category,parameter,mode,powertrain,year,unit,quantity
Australia,Historical,EV sales,Cars,BEV,2011,Vehicles,49
Australia,Historical,EV sales,Cars,BEV,2012,Vehicles,170
Australia,Historical,EV sales,Cars,PHEV,2012,Vehicles,80
Australia,Historical,EV sales,Cars,PHEV,2013,Vehicles,100
Australia,Historical,EV sales,Cars,BEV,2013,Vehicles,190
Australia,Historical,EV sales,Cars,BEV,2014,Vehicles,370
Australia,Historical,EV sales,Cars,PHEV,2014,Vehicles,950
Australia,Historical,EV sales,Cars,PHEV,2015,Vehicles,1000
Australia,Historical,EV sales,Cars,BEV,2015,Vehicles,760
Australia,Historical,EV sales,Cars,BEV,2016,Vehicles,670
Australia,Historical,EV sales,Cars,PHEV,2016,Vehicles,700
Australia,Historical,EV sales,Cars,PHEV,2017,Vehicles,1100
Australia,Historical,EV sales,Cars,BEV,2017,Vehicles,1200
Australia,Historical,EV sales,Cars,BEV,2018,Vehicles,1800
Australia,Historical,EV sales,Cars,PHEV,2018,Vehicles,1800
Australia,Historical,EV sales,Cars,PHEV,2019,Vehicles,2900
Australia,Historical,EV sales,Cars,BEV,2019,Vehicles,6300
Australia,Historical,EV sales,Cars,BEV,2020,Vehicles,5200
Australia,Historical,EV sales,Cars,PHEV,2020,Vehicles,1700
Australia,Historical,EV sales,Cars,PHEV,2021,Vehicles,3400
Australia,Historical,EV sales,Cars,BEV,2021,Vehicles,17000
Australia,Historical,EV sales,Cars,FCEV,2021,Vehicles,44
Australia,Historical,EV sales,Cars,FCEV,2022,Vehicles,15
Australia,Historical,EV sales,Cars,BEV,2022,Vehicles,33000
Australia,Historical,EV sales,Cars,PHEV,2022,Vehicles,5900
Australia,Historical,EV sales,Cars,PHEV,2023,Vehicles,11000
Australia,Historical,EV sales,Cars,BEV,2023,Vehicles,87000
Australia,Historical,EV sales,Cars,FCEV,2023,Vehicles,6
Austria,Historical,EV sales,Cars,BEV,2013,Vehicles,650
Austria,Historical,EV sales,Cars,BEV,2014,Vehicles,1700
Austria,Historical,EV sales,Cars,FCEV,2014,Vehicles,6
Austria,Historical,EV sales,Cars,FCEV,2015,Vehicles,4
Austria,Historical,EV sales,Cars,PHEV,2015,Vehicles,1100
Austria,Historical,EV sales,Cars,BEV,2015,Vehicles,1700
Austria,Historical,EV sales,Cars,BEV,2016,Vehicles,3800
Austria,Historical,EV sales,Cars,PHEV,2016,Vehicles,1200
Austria,Historical,EV sales,Cars,FCEV,2017,Vehicles,2
Austria,Historical,EV sales,Cars,PHEV,2017,Vehicles,1700
Austria,Historical,EV sales,Cars,BEV,2017,Vehicles,5400
Austria,Historical,EV sales,Cars,BEV,2018,Vehicles,6800
Austria,Historical,EV sales,Cars,PHEV,2018,Vehicles,2300
Austria,Historical,EV sales,Cars,FCEV,2018,Vehicles,7
Austria,Historical,EV sales,Cars,FCEV,2019,Vehicles,19
Austria,Historical,EV sales,Cars,BEV,2019,Vehicles,9300
Austria,Historical,EV sales,Cars,PHEV,2019,Vehicles,2200
Austria,Historical,EV sales,Cars,PHEV,2020,Vehicles,7600
Austria,Historical,EV sales,Cars,BEV,2020,Vehicles,16000
Austria,Historical,EV sales,Cars,FCEV,2020,Vehicles,14
Austria,Historical,EV sales,Cars,FCEV,2021,Vehicles,14
Austria,Historical,EV sales,Cars,BEV,2021,Vehicles,33000
Austria,Historical,EV sales,Cars,PHEV,2021,Vehicles,15000
Austria,Historical,EV sales,Cars,PHEV,2022,Vehicles,13000
Austria,Historical,EV sales,Cars,BEV,2022,Vehicles,34000
Austria,Historical,EV sales,Cars,FCEV,2022,Vehicles,14
Austria,Historical,EV sales,Cars,FCEV,2023,Vehicles,9
Austria,Historical,EV sales,Cars,BEV,2023,Vehicles,48000
Austria,Historical,EV sales,Cars,PHEV,2023,Vehicles,17000
Belgium,Historical,EV sales,Vans,BEV,2010,Vehicles,7
Belgium,Historical,EV sales,Cars,BEV,2010,Vehicles,48
Belgium,Historical,EV sales,Cars,PHEV,2010,Vehicles,8
Belgium,Historical,EV sales,Trucks,BEV,2011,Vehicles,1
Belgium,Historical,EV sales,Cars,PHEV,2011,Vehicles,16
Belgium,Historical,EV sales,Cars,BEV,2011,Vehicles,280
Belgium,Historical,EV sales,Vans,BEV,2011,Vehicles,25
Belgium,Historical,EV sales,Vans,BEV,2012,Vehicles,260
Belgium,Historical,EV sales,Cars,BEV,2012,Vehicles,570
Belgium,Historical,EV sales,Cars,PHEV,2012,Vehicles,340
Belgium,Historical,EV sales,Cars,PHEV,2013,Vehicles,60
Belgium,Historical,EV sales,Cars,BEV,2013,Vehicles,500
Belgium,Historical,EV sales,Vans,BEV,2013,Vehicles,110
Belgium,Historical,EV sales,Vans,BEV,2014,Vehicles,99
Belgium,Historical,EV sales,Cars,BEV,2014,Vehicles,1300
Belgium,Historical,EV sales,Buses,BEV,2014,Vehicles,3
Belgium,Historical,EV sales,Cars,PHEV,2014,Vehicles,650
Belgium,Historical,EV sales,Trucks,BEV,2014,Vehicles,1
Belgium,Historical,EV sales,Cars,PHEV,2015,Vehicles,2500
Belgium,Historical,EV sales,Cars,FCEV,2015,Vehicles,2
Belgium,Historical,EV sales,Cars,BEV,2015,Vehicles,1400
Belgium,Historical,EV sales,Vans,BEV,2015,Vehicles,68
Belgium,Historical,EV sales,Vans,BEV,2016,Vehicles,140
