Region,Region2,Country,Policy Level,Province,Policy Type,Key policy measures and targets,Category,Year
Africa,Rest of the World,Algeria,National,,Legislation,Ban on imports more than 3 years old.,Multiple,2021
Africa,Rest of the World,Angola,National,,Legislation,50% reduction of both import duty and vehicle tax for EVs.,Multiple,2022
Central and South America,Rest of the World,Antigua and Barbuda,National,,Target,Transition the government fleet to all-electric by 2035.,Multiple,2021
Central and South America,Rest of the World,Argentina,National,,Ambition,2 500 jobs in battery manufacturing by 2030.,Manufacturing,2021
Central and South America,Rest of the World,Argentina,National,,Proposal,Ban on sale of new ICE vehicles from 2041.,Multiple,2021
Central and South America,Rest of the World,Argentina,Subnational,Buenos Aires,Target,"50% ZEV buses by 2030, 100% by 2050.",Bus,2020
Central and South America,Rest of the World,Argentina,National,,Ambition,"National Sustainable Transportation plan promotes electromobility and EV manufacturing, among
other things.",Multiple,2022
Central and South America,Rest of the World,Argentina,Subnational,Buenos Aires,Target,"30% low-emission cars in circulation by 2030, 100% by 2050.",LDV,2020
Eurasia,Rest of the World,Armenia,National,,Target,"Between 200 000 and 400 000 EVs deployed, as well as 10% of ICEs replaced with hybrids by
2050.",LDV,2023
Eurasia,Rest of the World,Armenia,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Aruba,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022
Asia Pacific,Rest of the World,Australia,Subnational,Victoria,Ambition,50% of LDV fleet to be ZEV by 2030.,LDV,2021
Asia Pacific,Rest of the World,Australia,National,,Legislation,"New Vehicle Efficiency Standard will reduce CO2 from new passenger vehicles by 60% between
2025 and 2029, and by 50% for light commercial vehicles.",LDV,2024
Asia Pacific,Rest of the World,Australia,Subnational,Victoria,Ambition,All new public buses to be ZEV by 2025.,Bus,2021
Asia Pacific,Rest of the World,Australia,Subnational,New South Wales,Ambition,"Transition the state's 8 000 buses to ZEVs, starting with Greater Sydney by 2035, Outer Metropolitan regions by 2040, and Regional New South Wales by 2047.",Bus,2023
Asia Pacific,Rest of the World,Australia,Subnational,"Australian Capital
Territory",Ambition,80-90% of new car sales to be ZEVs by 2030.,LDV,2022
Asia Pacific,Rest of the World,Australia,National,,Ambition,"National Battery Strategy which aims to support the development of the battery manufacturing
industry in Australia.",Manufacturing,2023
Asia Pacific,Rest of the World,Australia,National,,Ambition,National Electric Vehicle Strategy which includes details of state-level targets and incentives.,Multiple,2023
Asia Pacific,Rest of the World,Australia,National,,Legislation,"The Critical Mineral's Strategy aims to grow the sector in Australia and is supported by the Critical
minerals facility via project loans, loan guarantees, bonds and working capital support as a complement to commercial financing.",Manufacturing,2022
Asia Pacific,Rest of the World,Australia,National,,Legislation,Funding for commercial fleet ZEVs purchase.,M/HDV,2022
Asia Pacific,Rest of the World,Australia,National,,Legislation,Future Fuels Fund for the deployment of EV charging and hydrogen refuelling.,EVSE,2022
Asia Pacific,Rest of the World,Australia,Multi-national,,Ambition,"The pledge goal is 100% zero-emission LDV acquisitions of civil government owned and operated fleet, with aspirations for 100% zero-emission M/HDV acquisitions, by no later than 2035.
Australia also specifically aims for 75% of new government passenger vehicles to be low emission
by 2025.",LDV,2022
Europe,Europe,Austria,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2021
Europe,Europe,Austria,National,,Ambition,100% share of ZEVs in new bus sales by 2032.,Bus,2021
Europe,Europe,Austria,National,,Ambition,"100% share of ZEVs in new car, light commercial, and two-wheeler sales by 2030.",LDV,2021
Europe,Europe,Austria,National,,Ambition,100% share of ZEVs in new heavy goods vehicle sales (above 18 tonnes) by 2035.,M/HDV,2021
Europe,Europe,Austria,National,,Ambition,100% share of ZEVs in new heavy goods vehicle sales (under 18 tonnes) by 2030.,M/HDV,2021
Europe,Europe,Austria,National,,Legislation,Grants towards electric two/three-wheelers.,2/3W,2023
Europe,Europe,Austria,National,,Legislation,"Grants available for private BEVs/FCEVs, and lower rates for PHEVs or EVs with a range extender.
Commercial rates are also available.",LDV,2023
Europe,Europe,Austria,National,,Legislation,"EVs are exempt from standard consumption tax, motor-related insurance tax, and benefit-in-kind
tax. Company vehicle EVs are tax deductible and VAT exempt.",Taxation,2023
Europe,Europe,Austria,National,,Legislation,"Grants available for the installation of domestic, public and commercial charging infrastructure.",EVSE,2021
Europe,Europe,Austria,National,,Legislation,Grants towards the purchase of EV trucks depending on vehicle class.,M/HDV,2023
Europe,Europe,Austria,National,,Legislation,Grants towards the purchase of EV buses depending on class.,Bus,2023
Europe,Europe,Austria,National,,Ambition,Necessary infrastructure for all types of ZEV road transport to be in place by no later than 2035.,EVSE,2021
Europe,Europe,Austria,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Eurasia,Rest of the World,Azerbaijan,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",LDV,2022
Asia Pacific,Rest of the World,Bangladesh,National,,Target,30% of new registrations to be electric by 2030.,Multiple,2022
Asia Pacific,Rest of the World,Bangladesh,National,,Legislation,"10 year tax holiday for local EV manufacturing and assembly, various incentives.",Manufacturing,2021
Europe,Europe,Belgium,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2022
Europe,Europe,Belgium,Subnational,Wallonia,Legislation,"Progressively ban the use of older vehicles (Euro 1, 2, 3 ban delayed to 2025, Euro 4 in 2026, Euro
5 in 2028, Euro 6 in 2030), and allow for the introduction of more restrictive LEZs.",Multiple,2022
Europe,Europe,Belgium,Subnational,Flanders,Target,"20% of sales to be ZEV by 2025, and 50% BEV or FCEV sales and 20% PHEV in 2030.",LDV,2019
Europe,Europe,Belgium,Subnational,Flanders,Target,"50% of all new purchases of non-urban buses, and at least 5% of trucks, will be zero-emission or
low-carbon by 2030.",Bus,2019
Europe,Europe,Belgium,Subnational,Flanders,Target,"All urban public transport will be HEV, BEV, or FCEV by 2025, with all buses emission free by 2035.",Bus,2019
Europe,Europe,Belgium,Subnational,Flanders,Target,"At least 30% of new LCVs will be zero-emissions by 2030, and encouraging emission-free
distribution from 2025.",LDV,2019
Europe,Europe,Belgium,Subnational,Flanders,Target,At least 5% of all trucks sales will be zero-emission or low-carbon by 2030.,M/HDV,2019
Europe,Europe,Belgium,Subnational,Flanders,Legislation,"EVs are indefinitely exempt from both annual road and registration tax (PHEV and NG exemption ended in 2020). Tax relief via income tax of 15% also applies to the purchase of electric
motorbikes, tricycles, and quadricycles.",LDV,2019
Europe,Europe,Belgium,Subnational,Flanders,Legislation,"Tax relief equal to 45%, 30%, and 15% of the value of installation of a private charger applies in 2022, 2023, and 2024 respectively. Businesses installing chargers that are also publicly accessible are eligible for tax relief equal to 200% of the value of the installation  in 2022, reducing to 150%
in 2023 and 2024.",EVSE,2021
Europe,Europe,Belgium,Subnational,Flanders,Legislation,"Tax relief for company vehicles is tied to emissions, with 0g CO2 vehicles qualifying for up to 120%
relief. Electricity costs are deductible at 75%.",LDV,2020
Europe,Europe,Belgium,Subnational,Brussels,Legislation,"Ban on diesel cars in the region by 2030, petrol cars by 2035.",LDV,2021
Europe,Europe,Belgium,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later
than 2035 in leading markets.",LDV,2022
Central and South America,Rest of the World,Bolivia,National,,Ambition,Annual 10% growth in the share of EVs in the Bolivian public transportation fleet.,Bus,2022
Central and South America,Rest of the World,Bolivia,National,,Legislation,"Tax incentives and financial incentives for the manufacturing, assembly, import, and purchase of
EVs.",Manufacturing,2021
Central and South America,Rest of the World,Brazil,National,,Proposal,Proposed Senate Bill No. 392/2023 obliges fuelling stations to have EV chargers.,EVSE,2023
Central and South America,Rest of the World,Brazil,National,,Proposal,"Deputies Bill No. 2156/2021 that aims to provide guidelines for the National Electric Mobility
Policy.",Multiple,2021
Central and South America,Rest of the World,Brazil,National,,Proposal,"Senate Bill No. 403/2022 that aims to grant exemption from Import Tax for electric and hybrid
vehicles.",Taxation,2022
Central and South America,Rest of the World,Brazil,National,,Proposal,"Resolution no. 532/2023 from the Executive Committee of the Foreign Chamber of Commerce establishes the gradual return of import tax on electric, hybrid and plug-in hybrid vehicles.",Taxation,2023
Central and South America,Rest of the World,Brazil,National,,Proposal,"National Green Mobility and Innovation Program (""MOVER""), Provisional Measure 1,205/2023 establishes new guidelines for the local automotive sector, including fleet sustainability
requirements and incentives for the production of new technologies.",Multiple,2023
Europe,Europe,Bulgaria,National,,Ambition,Build 10 000 charging stations to facilitate at least 30 000 EVs by 2026.,EVSE,2022
Africa,Rest of the World,Cabo Verde,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2023
Africa,Rest of the World,Cabo Verde,National,,Target,100% EVs in government LDV stock by 2030.,LDV,2019
Africa,Rest of the World,Cabo Verde,National,,Target,"15% share of EVs in medium truck sales by 2025, 35% by 2030 and 100% by 2035.",M/HDV,2019
Africa,Rest of the World,Cabo Verde,National,,Target,25% share of EVs in heavy truck sales by 2030 and 100% by 2035.,M/HDV,2019
Africa,Rest of the World,Cabo Verde,National,,Target,"35% share of passenger LDV sales to be EVs by 2025, 70% by 2030 and 100% by 2035.",LDV,2019
Africa,Rest of the World,Cabo Verde,National,,Target,"50% share of EVs in urban bus sales by 2025, 75% by 2030 and 100% by 2040.",Bus,2019
Africa,Rest of the World,Cabo Verde,Multi-national,,Ambition,"Work towards all sales of new cars and vans being zero emission globally by 2040, or by no later than 2035 in leading markets.",LDV,2022
Southeast Asia,Rest of the World,Cambodia,National,,Ambition,70% of motorcycle stock to be EVs by 2050.,2/3W,2021
Southeast Asia,Rest of the World,Cambodia,National,,Ambition,40% of cars and urban buses to be EVs by 2050.,LDV,2021
North America,Rest of the World,Canada,Multi-national,,Ambition,"30% ZEV sales in M/HDVs by 2030, 100% by 2040.",M/HDV,2019
North America,Rest of the World,Canada,Subnational,Quebec,Legislation,"Requires ZEV sales to reach 22% in 2025, 85% in 2030 and 100% in 2035, aiming for 2 million EVs
by 2030.",LDV,2020
North America,Rest of the World,Canada,Subnational,Quebec,Target,"100% of government cars, SUVs, vans and minivans and 25% of its pickup trucks to be electrified
by 2030.",LDV,2020
North America,Rest of the World,Canada,Subnational,Quebec,Target,"Target of 6,700 public fast-charging and 110,000 level 2 public charging stations by 2030
supported by an increased budget and amendments to building standards.",EVSE,2023
North America,Rest of the World,Canada,Subnational,Quebec,Target,40% of taxis to be electric by 2030.,LDV,2020
North America,Rest of the World,Canada,Subnational,Quebec,Target,"All new public/government funded buses will be electric by 2025, and 55% of city buses and 65% of school buses by 2030.",Bus,2020
North America,Rest of the World,Canada,Subnational,Quebec,Ambition,"Increase the number of fast-chargers to 2 500 by 2030, and up to 4 500 standard chargers.",EVSE,2020
North America,Rest of the World,Canada,Subnational,"Prince Edward
Island",Legislation,"Incentives towards the purchase or lease of a BEV or PHEV and voucher towards the cost of a
charger installation.",LDV,2025
North America,Rest of the World,Canada,Subnational,Newfoundland and Labrador,Legislation,"Rebate towards the purchase or lease of a BEV, lower amount for a PHEV, which can be combined with federal incentives.",LDV,2021
North America,Rest of the World,Canada,Subnational,New Brunswick,Legislation,"Rebate towards the purchase of a BEV or PHEV with more than 50km range; lower amount for a PHEV with less than 50km range and for used vehicles,  can be combined with federal incentives.",LDV,2021
North America,Rest of the World,Canada,Subnational,British Columbia,Ambition,10 000 public EV charging stations by 2030.,EVSE,2021
North America,Rest of the World,Canada,Subnational,British Columbia,Legislation,Additional provincial level rebates which can be combined with federal rebates.,M/HDV,2021
North America,Rest of the World,Canada,Subnational,British Columbia,Legislation,"Accelerated ZEV targets for light-duty sales of 26% by 2026, 90% by 2030 and 100% by 2035.
Ahead of national ambition.",LDV,2023
North America,Rest of the World,Canada,National,,Legislation,"Auto manufacturers and importers must meet annual ZEV targets for light-duty sales of 20% by
2026, 60% by 2030 and 100% by 2035 (ZEV availability standard).",LDV,2023
North America,Rest of the World,Canada,National,,Legislation,"Canadian CO2 emissions standards are aligned with the US Phase 2 standard, 432-627 g CO2/bhp- hr (for tractors, vocational vehicles and spark ignition engines) and 48.3-413 g CO2/t-mile for (all other) various heavy commercial vehicles. This will reduce CO2 emissions by 5-27% in 2027
(depending on vehicle category and weight) compared to 2017.",M/HDV,2016
North America,Rest of the World,Canada,National,,Target,"35% of M/HDV sales to be ZEV by 2030, and 100% of selected M/HDVs by 2040.",M/HDV,2022
North America,Rest of the World,Canada,National,,Legislation,"Contribution of up to 50% of the project cost (75% for indigenous businesses and communities) when installing charging infrastructure (Zero Emission Vehicle Infrastructure Program supported
by Canada's Infrastructure Bank)",EVSE,2022
North America,Rest of the World,Canada,National,,Legislation,"Grants towards the purchase or lease of BEV, FCEV, or PHEV coaches (iMHZEV programme).",Bus,2022
North America,Rest of the World,Canada,National,,Legislation,Database of charging incentives available for homes and businesses in Canada.,EVSE,2022
